M,Ri_x,Ri_y,Ri_z,Ri_kx,Ri_ky,Ri_kz,Ri_ex,Ri_ey,Ri_ez,Ri_distance,Ri_amp,Ri_status,Ri_ray_index,Ro_x,Ro_y,Ro_z,Ro_kx,Ro_ky,Ro_kz,Ro_ex,Ro_ey,Ro_ez,Ro_distance,Ro_amp,Ro_status,Ro_ray_index
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.0,1.25,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,1.23904204674119e-08,20.000003326588782,-0.9981735718507209,-0.03283465664330555,0.05070903057533438,-0.05173511357786942,0.03119292358627007,-0.9981735718507209,79.99999696177176,1.0,0.0,14.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.0,1.5,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,-6.217771097993818e-08,19.999992642779517,-0.997948296662368,-0.039392697553781386,0.05047189879641101,-0.05194912500526183,0.037423062406308966,-0.997948296662368,80.00000764558101,1.0,0.0,15.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.0,1.75,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,-1.6242808720257074e-07,20.000021629777386,-0.9976821933691371,-0.04594589474862106,0.05019179006467511,-0.05220192313200889,0.043648599696526666,-0.9976821933691371,79.99997865858315,1.0,0.0,16.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.25,-2.0,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,2.817758293360839e-07,20.000017683676724,-0.9976973075560147,0.052167186829778195,0.04334359368748553,-0.045951953386244804,-0.049884872210593206,-0.9976973075560147,79.99998247298976,1.0,0.0,17.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.25,-1.75,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,18.0,0.0,1.5666647357193142e-07,20.00000624677366,-0.9980023641989374,0.0456602429725922,0.04366260717152981,-0.045660242972592524,-0.04366260717152961,-0.9980023641989374,79.99999390989282,1.0,0.0,18.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.25,-1.5,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,19.0,0.0,5.723925555756182e-08,19.99997725974235,-0.9982668975192477,0.03914772296520067,0.043939243324571775,-0.04540728298603658,-0.037435009938852855,-0.9982668975192477,80.00002289692414,1.0,0.0,19.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.25,-1.25,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,20.0,0.0,-1.650593040025683e-08,19.99998794352332,-0.9984908429291626,0.03263041927269105,0.044173434603831385,-0.045193135188644096,-0.031202838307299845,-0.9984908429291626,80.00001221314317,1.0,0.0,20.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.25,-1.0,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,21.0,0.0,-6.45689074429967e-08,19.999981078139108,-0.9986741457125144,0.026109126306646167,0.04436512378978663,-0.04501785190275032,-0.02496685193294368,-0.9986741457125144,80.00001907852737,1.0,0.0,21.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.25,-0.75,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,22.0,0.0,-8.694988840041162e-08,20.00001388453024,-0.9988167610581477,0.019584640103179212,0.044514264021097816,-0.044881475979022256,-0.018727812025314622,-0.9988167610581477,79.99998627213623,1.0,0.0,22.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.25,-0.5,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,23.0,0.0,-8.364865955456935e-08,20.000029142719306,-0.9989186540872924,0.01305775799961934,0.0446208188232351,-0.044784040770284195,-0.012486481038230674,-0.9989186540872924,79.99997101394715,1.0,0.0,23.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.25,-0.25,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,24.0,0.0,-5.4665398957487454e-08,19.999969632728828,-0.9989797998748855,0.006529278310041622,0.04468476213077244,-0.0447255701111271,-0.006243622359523147,-0.9989797998748855,80.00003052393762,1.0,0.0,24.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.25,0.0,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,25.0,0.0,-1.8796766321676834e-16,20.00000701641731,-0.9990001834648162,-4.909273987947827e-18,0.0447060783033324,-0.044706078303332286,4.694493232588369e-18,-0.9990001834648162,79.99999314024915,1.0,0.0,25.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.25,0.25,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,26.0,0.0,5.46653986799317e-08,19.999969632728828,-0.9989797998748855,-0.00652927831004163,0.04468476213077244,-0.0447255701111271,0.006243622359523155,-0.9989797998748855,80.00003052393762,1.0,0.0,26.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.25,0.5,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,27.0,0.0,8.364865927701359e-08,20.000029142719306,-0.9989186540872924,-0.013057757999619347,0.0446208188232351,-0.044784040770284195,0.012486481038230681,-0.9989186540872924,79.99997101394715,1.0,0.0,27.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.25,0.75,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,28.0,0.0,8.694988806734472e-08,20.00001388453024,-0.9988167610581477,-0.01958464010317922,0.044514264021097816,-0.044881475979022256,0.018727812025314625,-0.9988167610581477,79.99998627213623,1.0,0.0,28.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.25,1.0,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,29.0,0.0,6.45689074429967e-08,19.999981078139108,-0.9986741457125144,-0.026109126306646167,0.04436512378978663,-0.04501785190275032,0.02496685193294368,-0.9986741457125144,80.00001907852737,1.0,0.0,29.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.25,1.25,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,30.0,0.0,1.650593040025683e-08,19.99998794352332,-0.9984908429291626,-0.03263041927269105,0.044173434603831385,-0.045193135188644096,0.031202838307299845,-0.9984908429291626,80.00001221314317,1.0,0.0,30.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.25,1.5,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,31.0,0.0,-5.7239255335517214e-08,19.99997725974235,-0.9982668975192477,-0.039147722965200665,0.043939243324571775,-0.04540728298603658,0.03743500993885285,-0.9982668975192477,80.00002289692414,1.0,0.0,31.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.25,1.75,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,32.0,0.0,-1.566664729057976e-07,20.00000624677366,-0.9980023641989374,-0.04566024297259218,0.04366260717152981,-0.045660242972592524,0.04366260717152959,-0.9980023641989374,79.99999390989282,1.0,0.0,32.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.5,-2.0,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,33.0,0.0,2.7661077828256e-07,19.999984778848823,-0.9979748882120202,0.051842858505835095,0.036857028097094346,-0.03944917137743498,-0.04989875124529461,-0.9979748882120202,80.00001527451658,1.0,0.0,33.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.5,-1.75,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,34.0,0.0,1.5214705362254222e-07,20.0000305623745,-0.9982781320581489,0.045376282674982775,0.037172086638947555,-0.03915729917592603,-0.043674672016402995,-0.9982781320581489,79.9999694909909,1.0,0.0,34.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.5,-1.5,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,35.0,0.0,5.336539454781075e-08,20.00000157531696,-0.9985410924578603,0.038904199791541035,0.03744529224940174,-0.03890419979154125,-0.037445292249401164,-0.9985410924578603,79.99999847804845,1.0,0.0,35.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.5,-1.25,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,36.0,0.0,-1.973408902955498e-08,20.000012259075742,-0.9987637056061145,0.03242739252721952,0.037676578637507285,-0.03868993463663284,-0.03121136526580859,-0.9987637056061145,79.99998779428968,1.0,0.0,36.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.5,-1.0,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,37.0,0.0,-6.715150535629988e-08,20.00000539367339,-0.9989459174502766,0.025946645464144272,0.03786588964468174,-0.03851455573686102,-0.024973646225920625,-0.9989459174502766,79.99999465969205,1.0,0.0,37.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.5,-0.75,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,38.0,0.0,-8.888678348917267e-08,19.99998097959145,-0.9990876837229015,0.019462744778869754,0.03801317927877457,-0.03837810569964195,-0.01873289182466991,-0.9990876837229015,80.00001907377401,1.0,0.0,38.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,38.5,-0.5,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,39.0,0.0,-8.493999403835772e-08,19.99999623777043,-0.999188969968609,0.012976477925018165,0.038118411741987934,-0.03828061768827873,-0.012489859986166807,-0.999188969968609,80.00000381559502,1.0,0.0,39.0
