M,Ri_x,Ri_y,Ri_z,Ri_kx,Ri_ky,Ri_kz,Ri_ex,Ri_ey,Ri_ez,Ri_distance,Ri_amp,Ri_status,Ri_ray_index,Ro_x,Ro_y,Ro_z,Ro_kx,Ro_ky,Ro_kz,Ro_ex,Ro_ey,Ro_ez,Ro_distance,Ro_amp,Ro_status,Ro_ray_index
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,32.0,-6.0,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,14.0,3.552713678800501e-15,1.2327407166168314e-06,19.999953357485676,-0.962406103348269,0.18045118145271263,0.2030070524644938,-0.23007474821986873,-0.1443610143687186,-0.962406103348269,80.00002746654809,1.0,0.0,14.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,32.0,-4.0,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,-3.0133661521603017e-06,20.00001499873963,-0.9696970771607908,0.1212120433309629,0.21212076536103774,-0.2242419663736207,-0.09696968115195363,-0.9696970771607908,79.99996582529413,1.0,0.0,15.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,32.0,-2.0,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,16.0,3.552713678800501e-15,-6.84855941734952e-07,19.999982760098654,-0.974124912400783,0.06088278617707287,0.21765555675765214,-0.22069969648346532,-0.04870625229139457,-0.974124912400783,79.99999806393508,1.0,0.0,16.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,32.0,0.0,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,-1.9816114542944376e-16,19.99997206867345,-0.9756098587647638,-6.041498972033857e-18,0.21951173882277453,-0.2195117388227743,4.833201494659809e-18,-0.9756098587647638,80.00000875536026,1.0,0.0,17.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,32.0,2.0,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,18.0,3.552713678800501e-15,6.848559426231304e-07,19.999982760098654,-0.974124912400783,-0.06088278617707285,0.21765555675765214,-0.22069969648346532,0.048706252291394546,-0.974124912400783,79.99999806393508,1.0,0.0,18.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,32.0,4.0,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,19.0,0.0,3.0133661521603017e-06,20.00001499873963,-0.9696970771607908,-0.1212120433309629,0.21212076536103774,-0.2242419663736207,0.09696968115195363,-0.9696970771607908,79.99996582529413,1.0,0.0,19.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,32.0,6.0,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,20.0,3.552713678800501e-15,-1.2327407183931882e-06,19.999953357485676,-0.962406103348269,-0.1804511814527127,0.2030070524644938,-0.23007474821986873,0.14436101436871865,-0.962406103348269,80.00002746654809,1.0,0.0,20.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,32.0,8.0,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,21.0,0.0,1.9175966266438138e-05,19.999974757405006,-0.9523811480539511,-0.23809471630008877,0.19047586435403985,-0.2380947163000886,0.19047586435403976,-0.9523811480539511,80.00000606662874,1.0,0.0,21.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,32.0,10.0,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,22.0,0.0,-5.245996485925275e-05,19.99999650136497,-0.9397941367183307,-0.2936872083984592,0.17474210772726684,-0.24816433019594897,0.2349498793535415,-0.9397941367183307,79.99998432266874,1.0,0.0,22.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,34.0,-10.0,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,23.0,0.0,5.8462560824423804e-05,19.999967573669498,-0.9523805486098416,0.2801135636677696,0.12044783966082462,-0.19047663151820338,-0.2380965003419746,-0.9523805486098416,80.00003726061064,1.0,0.0,23.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,34.0,-8.0,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,24.0,0.0,-1.4373926178201657e-05,20.000003320294198,-0.9645390700461265,0.22694996165163597,0.13475198425579804,-0.180141889546387,-0.19290744408967492,-0.9645390700461265,80.00000151398595,1.0,0.0,24.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,34.0,-6.0,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,25.0,0.0,4.8342800926803875e-06,19.999982130462243,-0.9742119969364414,0.1719199026833033,0.14613189961974404,-0.17191990268330237,-0.14613189961974457,-0.9742119969364414,80.00002270381783,1.0,0.0,25.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,34.0,-4.0,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,26.0,0.0,-6.123421401049711e-07,19.999986701321674,-0.9812409646646363,0.11544009581774567,0.154401274417032,-0.1659452808364118,-0.09812406958610297,-0.9812409646646363,80.00001813295839,1.0,0.0,26.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\parabolic.pt,34.0,-2.0,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,27.0,0.0,5.156565330288743e-07,20.000011773178116,-0.9855072266524829,0.05797102827906487,0.15942040677403901,-0.16231895858501,-0.04927536808193181,-0.9855072266524829,79.99999306110203,1.0,0.0,27.0
