M,Ri_x,Ri_y,Ri_z,Ri_kx,Ri_ky,Ri_kz,Ri_ex,Ri_ey,Ri_ez,Ri_distance,Ri_amp,Ri_status,Ri_ray_index,Ro_x,Ro_y,Ro_z,Ro_kx,Ro_ky,Ro_kz,Ro_ex,Ro_ey,Ro_ez,Ro_distance,Ro_amp,Ro_status,Ro_ray_index
C:\Users\User\PycharmProjects\mirrornet\Mirrors\flat.pt,30.0,-10.0,60.0,0.43388429752066127,0.43388429752066127,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,484.0,0.0,-44.76229705791802,42.204882514505506,-0.5919422748217777,-0.629413787704362,0.5034308563511644,-0.5000000000000038,0.5000000000000011,-0.707106781186544,180.46501295819598,0.0,0.0,946.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\flat.pt,30.0,-8.0,60.0,0.43388429752066127,0.39049586776859513,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,946.0,0.0,-31.640289453962964,36.79612111576773,-0.6294137877043622,-0.591942274821779,0.5034308563511635,-0.4999999999999938,0.5000000000000018,-0.7071067811865507,169.72121104279483,0.0,0.0,967.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\flat.pt,30.0,-8.0,60.0,0.39049586776859513,0.43388429752066127,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,967.0,0.0,-37.99999999999998,44.05251152928634,-0.6026915918084745,-0.6026915918084743,0.522996835866849,-0.4999999999999958,0.5000000000000041,-0.7071067811865478,177.24627300967188,0.0,0.0,968.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\flat.pt,30.0,-8.0,60.0,0.43388429752066127,0.43388429752066127,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,968.0,0.0,-40.000000000001194,43.506066144824416,-0.6026915918084682,-0.6026915918084803,0.5229968358668483,-0.500000000000002,0.5000000000000042,-0.7071067811865431,178.90549768933488,0.0,0.0,484.0
