M,Ri_x,Ri_y,Ri_z,Ri_kx,Ri_ky,Ri_kz,Ri_ex,Ri_ey,Ri_ez,Ri_distance,Ri_amp,Ri_status,Ri_ray_index,Ro_x,Ro_y,Ro_z,Ro_kx,Ro_ky,Ro_kz,Ro_ex,Ro_ey,Ro_ez,Ro_distance,Ro_amp,Ro_status,Ro_ray_index
C:\Users\User\PycharmProjects\mirrornet\Mirrors\d9f4223526\mirror.pt,38.0,1.25,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,-0.30381436224824787,19.987060359965334,-0.9978864447482424,-0.04080342867743846,0.05057394186612374,-0.052158713509019794,0.03875708958109319,-0.9978864447482424,80.01930509475793,1.0,0.0,14.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\d9f4223526\mirror.pt,38.0,1.5,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,-0.2538555286209898,19.97832607672363,-0.9976840214759705,-0.04604720097059087,0.050062446747134004,-0.05208170257691258,0.043750309121486246,-0.9976840214759705,80.01667446198365,1.0,0.0,15.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\d9f4223526\mirror.pt,38.0,1.75,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,-0.17595364529384572,19.972035671681088,-0.9974895378666948,-0.0505557529367588,0.049585660139656706,-0.05202079645303026,0.048046421124580074,-0.9974895378666948,80.01259932570083,1.0,0.0,16.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\d9f4223526\mirror.pt,38.25,-2.0,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,0.1592751008173794,19.99466789742387,-0.9974649520752658,0.05630852901840841,0.04350883750769263,-0.04654728847835221,-0.05382396600772574,-0.9974649520752658,80.02098673948956,1.0,0.0,17.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\d9f4223526\mirror.pt,38.25,-1.75,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,18.0,0.0,0.18105294143356443,19.99096666273766,-0.9977713517457564,0.05037253081481794,0.04376000199675567,-0.046191012819009614,-0.04815308889572863,-0.9977713517457564,80.0220283050202,1.0,0.0,18.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\d9f4223526\mirror.pt,38.25,-1.5,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,19.0,0.0,0.18602054255682754,19.98718693470108,-0.998063733318292,0.043993619794917636,0.04396982660977389,-0.04582374856549254,-0.04205910486636466,-0.998063733318292,80.02212763588378,1.0,0.0,19.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\d9f4223526\mirror.pt,38.25,-1.25,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,20.0,0.0,0.17421675829570105,19.983549699347144,-0.9983335193849677,0.03717237460591888,0.04414066876001721,-0.04546403971489399,-0.03554159767408961,-0.9983335193849677,80.0214985180813,1.0,0.0,20.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\d9f4223526\mirror.pt,38.25,-1.0,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,21.0,0.0,0.14567090244793413,19.980255305723738,-0.9985715858945431,0.02990939633910238,0.04427432500544359,-0.045130969632194096,-0.028600409509570407,-0.9985715858945431,80.0203750904195,1.0,0.0,21.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\d9f4223526\mirror.pt,38.25,-0.75,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,22.0,0.0,0.10040093198059863,19.977426130301712,-0.9987682647979775,0.022205319299786808,0.04437202978489885,-0.04484415675799158,-0.02123569723607107,-0.9987682647979775,80.0190691001035,1.0,0.0,22.0
C:\Users\User\PycharmProjects\mirrornet\Mirrors\d9f4223526\mirror.pt,38.25,-0.5,60.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,23.0,0.0,0.03841163731379904,19.975220877329964,-0.9989133458515294,0.014060825361425546,0.04443445363520104,-0.04462374920004564,-0.013447991933174435,-0.9989133458515294,80.01785561669882,1.0,0.0,23.0
