x,y,z,kx,ky,kz,ex,ey,ez,distance,amp,status,ray_index
30,-10,60,0,0,-1,1,0,0,0,1,0,1
30,-9,60,0,0,-1,1,0,0,0,1,0,2
30,-8,60,0,0,-1,1,0,0,0,1,0,3
30,-7,60,0,0,-1,1,0,0,0,1,0,4
30,-6,60,0,0,-1,1,0,0,0,1,0,5
30,-5,60,0,0,-1,1,0,0,0,1,0,6
30,-4,60,0,0,-1,1,0,0,0,1,0,7
30,-3,60,0,0,-1,1,0,0,0,1,0,8
30,-2,60,0,0,-1,1,0,0,0,1,0,9
30,-1,60,0,0,-1,1,0,0,0,1,0,10
30,0,60,0,0,-1,1,0,0,0,1,0,11
30,1,60,0,0,-1,1,0,0,0,1,0,12
30,2,60,0,0,-1,1,0,0,0,1,0,13
30,3,60,0,0,-1,1,0,0,0,1,0,14
30,4,60,0,0,-1,1,0,0,0,1,0,15
30,5,60,0,0,-1,1,0,0,0,1,0,16
30,6,60,0,0,-1,1,0,0,0,1,0,17
30,7,60,0,0,-1,1,0,0,0,1,0,18
30,8,60,0,0,-1,1,0,0,0,1,0,19
30,9,60,0,0,-1,1,0,0,0,1,0,20
30,10,60,0,0,-1,1,0,0,0,1,0,21
30,11,60,0,0,-1,1,0,0,0,1,0,22
31,-10,60,0,0,-1,1,0,0,0,1,0,23
31,-9,60,0,0,-1,1,0,0,0,1,0,24
31,-8,60,0,0,-1,1,0,0,0,1,0,25
31,-7,60,0,0,-1,1,0,0,0,1,0,26
31,-6,60,0,0,-1,1,0,0,0,1,0,27
31,-5,60,0,0,-1,1,0,0,0,1,0,28
31,-4,60,0,0,-1,1,0,0,0,1,0,29
31,-3,60,0,0,-1,1,0,0,0,1,0,30
31,-2,60,0,0,-1,1,0,0,0,1,0,31
31,-1,60,0,0,-1,1,0,0,0,1,0,32
31,0,60,0,0,-1,1,0,0,0,1,0,33
31,1,60,0,0,-1,1,0,0,0,1,0,34
31,2,60,0,0,-1,1,0,0,0,1,0,35
31,3,60,0,0,-1,1,0,0,0,1,0,36
31,4,60,0,0,-1,1,0,0,0,1,0,37
31,5,60,0,0,-1,1,0,0,0,1,0,38
31,6,60,0,0,-1,1,0,0,0,1,0,39
31,7,60,0,0,-1,1,0,0,0,1,0,40
31,8,60,0,0,-1,1,0,0,0,1,0,41
31,9,60,0,0,-1,1,0,0,0,1,0,42
31,10,60,0,0,-1,1,0,0,0,1,0,43
31,11,60,0,0,-1,1,0,0,0,1,0,44
32,-10,60,0,0,-1,1,0,0,0,1,0,45
32,-9,60,0,0,-1,1,0,0,0,1,0,46
32,-8,60,0,0,-1,1,0,0,0,1,0,47
32,-7,60,0,0,-1,1,0,0,0,1,0,48
32,-6,60,0,0,-1,1,0,0,0,1,0,49
32,-5,60,0,0,-1,1,0,0,0,1,0,50
32,-4,60,0,0,-1,1,0,0,0,1,0,51
32,-3,60,0,0,-1,1,0,0,0,1,0,52
32,-2,60,0,0,-1,1,0,0,0,1,0,53
32,-1,60,0,0,-1,1,0,0,0,1,0,54
32,0,60,0,0,-1,1,0,0,0,1,0,55
32,1,60,0,0,-1,1,0,0,0,1,0,56
32,2,60,0,0,-1,1,0,0,0,1,0,57
32,3,60,0,0,-1,1,0,0,0,1,0,58
32,4,60,0,0,-1,1,0,0,0,1,0,59
32,5,60,0,0,-1,1,0,0,0,1,0,60
32,6,60,0,0,-1,1,0,0,0,1,0,61
32,7,60,0,0,-1,1,0,0,0,1,0,62
32,8,60,0,0,-1,1,0,0,0,1,0,63
32,9,60,0,0,-1,1,0,0,0,1,0,64
32,10,60,0,0,-1,1,0,0,0,1,0,65
32,11,60,0,0,-1,1,0,0,0,1,0,66
33,-10,60,0,0,-1,1,0,0,0,1,0,67
33,-9,60,0,0,-1,1,0,0,0,1,0,68
33,-8,60,0,0,-1,1,0,0,0,1,0,69
33,-7,60,0,0,-1,1,0,0,0,1,0,70
33,-6,60,0,0,-1,1,0,0,0,1,0,71
33,-5,60,0,0,-1,1,0,0,0,1,0,72
33,-4,60,0,0,-1,1,0,0,0,1,0,73
33,-3,60,0,0,-1,1,0,0,0,1,0,74
33,-2,60,0,0,-1,1,0,0,0,1,0,75
33,-1,60,0,0,-1,1,0,0,0,1,0,76
33,0,60,0,0,-1,1,0,0,0,1,0,77
33,1,60,0,0,-1,1,0,0,0,1,0,78
33,2,60,0,0,-1,1,0,0,0,1,0,79
33,3,60,0,0,-1,1,0,0,0,1,0,80
33,4,60,0,0,-1,1,0,0,0,1,0,81
33,5,60,0,0,-1,1,0,0,0,1,0,82
33,6,60,0,0,-1,1,0,0,0,1,0,83
33,7,60,0,0,-1,1,0,0,0,1,0,84
33,8,60,0,0,-1,1,0,0,0,1,0,85
33,9,60,0,0,-1,1,0,0,0,1,0,86
33,10,60,0,0,-1,1,0,0,0,1,0,87
33,11,60,0,0,-1,1,0,0,0,1,0,88
34,-10,60,0,0,-1,1,0,0,0,1,0,89
34,-9,60,0,0,-1,1,0,0,0,1,0,90
34,-8,60,0,0,-1,1,0,0,0,1,0,91
34,-7,60,0,0,-1,1,0,0,0,1,0,92
34,-6,60,0,0,-1,1,0,0,0,1,0,93
34,-5,60,0,0,-1,1,0,0,0,1,0,94
34,-4,60,0,0,-1,1,0,0,0,1,0,95
34,-3,60,0,0,-1,1,0,0,0,1,0,96
34,-2,60,0,0,-1,1,0,0,0,1,0,97
34,-1,60,0,0,-1,1,0,0,0,1,0,98
34,0,60,0,0,-1,1,0,0,0,1,0,99
34,1,60,0,0,-1,1,0,0,0,1,0,100
34,2,60,0,0,-1,1,0,0,0,1,0,101
34,3,60,0,0,-1,1,0,0,0,1,0,102
34,4,60,0,0,-1,1,0,0,0,1,0,103
34,5,60,0,0,-1,1,0,0,0,1,0,104
34,6,60,0,0,-1,1,0,0,0,1,0,105
34,7,60,0,0,-1,1,0,0,0,1,0,106
34,8,60,0,0,-1,1,0,0,0,1,0,107
34,9,60,0,0,-1,1,0,0,0,1,0,108
34,10,60,0,0,-1,1,0,0,0,1,0,109
34,11,60,0,0,-1,1,0,0,0,1,0,110
35,-10,60,0,0,-1,1,0,0,0,1,0,111
35,-9,60,0,0,-1,1,0,0,0,1,0,112
35,-8,60,0,0,-1,1,0,0,0,1,0,113
35,-7,60,0,0,-1,1,0,0,0,1,0,114
35,-6,60,0,0,-1,1,0,0,0,1,0,115
35,-5,60,0,0,-1,1,0,0,0,1,0,116
35,-4,60,0,0,-1,1,0,0,0,1,0,117
35,-3,60,0,0,-1,1,0,0,0,1,0,118
35,-2,60,0,0,-1,1,0,0,0,1,0,119
35,-1,60,0,0,-1,1,0,0,0,1,0,120
35,0,60,0,0,-1,1,0,0,0,1,0,121
35,1,60,0,0,-1,1,0,0,0,1,0,122
35,2,60,0,0,-1,1,0,0,0,1,0,123
35,3,60,0,0,-1,1,0,0,0,1,0,124
35,4,60,0,0,-1,1,0,0,0,1,0,125
35,5,60,0,0,-1,1,0,0,0,1,0,126
35,6,60,0,0,-1,1,0,0,0,1,0,127
35,7,60,0,0,-1,1,0,0,0,1,0,128
35,8,60,0,0,-1,1,0,0,0,1,0,129
35,9,60,0,0,-1,1,0,0,0,1,0,130
35,10,60,0,0,-1,1,0,0,0,1,0,131
35,11,60,0,0,-1,1,0,0,0,1,0,132
36,-10,60,0,0,-1,1,0,0,0,1,0,133
36,-9,60,0,0,-1,1,0,0,0,1,0,134
36,-8,60,0,0,-1,1,0,0,0,1,0,135
36,-7,60,0,0,-1,1,0,0,0,1,0,136
36,-6,60,0,0,-1,1,0,0,0,1,0,137
36,-5,60,0,0,-1,1,0,0,0,1,0,138
36,-4,60,0,0,-1,1,0,0,0,1,0,139
36,-3,60,0,0,-1,1,0,0,0,1,0,140
36,-2,60,0,0,-1,1,0,0,0,1,0,141
36,-1,60,0,0,-1,1,0,0,0,1,0,142
36,0,60,0,0,-1,1,0,0,0,1,0,143
36,1,60,0,0,-1,1,0,0,0,1,0,144
36,2,60,0,0,-1,1,0,0,0,1,0,145
36,3,60,0,0,-1,1,0,0,0,1,0,146
36,4,60,0,0,-1,1,0,0,0,1,0,147
36,5,60,0,0,-1,1,0,0,0,1,0,148
36,6,60,0,0,-1,1,0,0,0,1,0,149
36,7,60,0,0,-1,1,0,0,0,1,0,150
36,8,60,0,0,-1,1,0,0,0,1,0,151
36,9,60,0,0,-1,1,0,0,0,1,0,152
36,10,60,0,0,-1,1,0,0,0,1,0,153
36,11,60,0,0,-1,1,0,0,0,1,0,154
37,-10,60,0,0,-1,1,0,0,0,1,0,155
37,-9,60,0,0,-1,1,0,0,0,1,0,156
37,-8,60,0,0,-1,1,0,0,0,1,0,157
37,-7,60,0,0,-1,1,0,0,0,1,0,158
37,-6,60,0,0,-1,1,0,0,0,1,0,159
37,-5,60,0,0,-1,1,0,0,0,1,0,160
