x,y,z,kx,ky,kz,ex,ey,ez,distance,amp,status,ray_index
48,-8,60,0,0,-1,1,0,0,0,1,0,101
48,-6,60,0,0,-1,1,0,0,0,1,0,102
48,-4,60,0,0,-1,1,0,0,0,1,0,103
48,-2,60,0,0,-1,1,0,0,0,1,0,104
48,0,60,0,0,-1,1,0,0,0,1,0,105
48,2,60,0,0,-1,1,0,0,0,1,0,106
48,4,60,0,0,-1,1,0,0,0,1,0,107
48,6,60,0,0,-1,1,0,0,0,1,0,108
48,8,60,0,0,-1,1,0,0,0,1,0,109
48,10,60,0,0,-1,1,0,0,0,1,0,110
50,-10,60,0,0,-1,1,0,0,0,1,0,111
50,-8,60,0,0,-1,1,0,0,0,1,0,112
50,-6,60,0,0,-1,1,0,0,0,1,0,113
50,-4,60,0,0,-1,1,0,0,0,1,0,114
50,-2,60,0,0,-1,1,0,0,0,1,0,115
50,0,60,0,0,-1,1,0,0,0,1,0,116
50,2,60,0,0,-1,1,0,0,0,1,0,117
50,4,60,0,0,-1,1,0,0,0,1,0,118
50,6,60,0,0,-1,1,0,0,0,1,0,119
50,8,60,0,0,-1,1,0,0,0,1,0,120
50,10,60,0,0,-1,1,0,0,0,1,0,121
