x,y,z,kx,ky,kz,ex,ey,ez,distance,amp,status,ray_index
30.0,11.75,60,0,0,-1,1,0,0,0,1,0,88
30.25,-10.0,60,0,0,-1,1,0,0,0,1,0,89
30.25,-9.75,60,0,0,-1,1,0,0,0,1,0,90
30.25,-9.5,60,0,0,-1,1,0,0,0,1,0,91
30.25,-9.25,60,0,0,-1,1,0,0,0,1,0,92
30.25,-9.0,60,0,0,-1,1,0,0,0,1,0,93
30.25,-8.75,60,0,0,-1,1,0,0,0,1,0,94
30.25,-8.5,60,0,0,-1,1,0,0,0,1,0,95
30.25,-8.25,60,0,0,-1,1,0,0,0,1,0,96
30.25,-8.0,60,0,0,-1,1,0,0,0,1,0,97
30.25,-7.75,60,0,0,-1,1,0,0,0,1,0,98
30.25,-7.5,60,0,0,-1,1,0,0,0,1,0,99
30.25,-7.25,60,0,0,-1,1,0,0,0,1,0,100
30.25,-7.0,60,0,0,-1,1,0,0,0,1,0,101
30.25,-6.75,60,0,0,-1,1,0,0,0,1,0,102
30.25,-6.5,60,0,0,-1,1,0,0,0,1,0,103
30.25,-6.25,60,0,0,-1,1,0,0,0,1,0,104
30.25,-6.0,60,0,0,-1,1,0,0,0,1,0,105
30.25,-5.75,60,0,0,-1,1,0,0,0,1,0,106
30.25,-5.5,60,0,0,-1,1,0,0,0,1,0,107
30.25,-5.25,60,0,0,-1,1,0,0,0,1,0,108
30.25,-5.0,60,0,0,-1,1,0,0,0,1,0,109
30.25,-4.75,60,0,0,-1,1,0,0,0,1,0,110
30.25,-4.5,60,0,0,-1,1,0,0,0,1,0,111
30.25,-4.25,60,0,0,-1,1,0,0,0,1,0,112
30.25,-4.0,60,0,0,-1,1,0,0,0,1,0,113
30.25,-3.75,60,0,0,-1,1,0,0,0,1,0,114
30.25,-3.5,60,0,0,-1,1,0,0,0,1,0,115
30.25,-3.25,60,0,0,-1,1,0,0,0,1,0,116
30.25,-3.0,60,0,0,-1,1,0,0,0,1,0,117
30.25,-2.75,60,0,0,-1,1,0,0,0,1,0,118
30.25,-2.5,60,0,0,-1,1,0,0,0,1,0,119
30.25,-2.25,60,0,0,-1,1,0,0,0,1,0,120
30.25,-2.0,60,0,0,-1,1,0,0,0,1,0,121
30.25,-1.75,60,0,0,-1,1,0,0,0,1,0,122
30.25,-1.5,60,0,0,-1,1,0,0,0,1,0,123
30.25,-1.25,60,0,0,-1,1,0,0,0,1,0,124
30.25,-1.0,60,0,0,-1,1,0,0,0,1,0,125
30.25,-0.75,60,0,0,-1,1,0,0,0,1,0,126
30.25,-0.5,60,0,0,-1,1,0,0,0,1,0,127
30.25,-0.25,60,0,0,-1,1,0,0,0,1,0,128
30.25,0.0,60,0,0,-1,1,0,0,0,1,0,129
30.25,0.25,60,0,0,-1,1,0,0,0,1,0,130
30.25,0.5,60,0,0,-1,1,0,0,0,1,0,131
30.25,0.75,60,0,0,-1,1,0,0,0,1,0,132
30.25,1.0,60,0,0,-1,1,0,0,0,1,0,133
30.25,1.25,60,0,0,-1,1,0,0,0,1,0,134
30.25,1.5,60,0,0,-1,1,0,0,0,1,0,135
30.25,1.75,60,0,0,-1,1,0,0,0,1,0,136
30.25,2.0,60,0,0,-1,1,0,0,0,1,0,137
30.25,2.25,60,0,0,-1,1,0,0,0,1,0,138
30.25,2.5,60,0,0,-1,1,0,0,0,1,0,139
30.25,2.75,60,0,0,-1,1,0,0,0,1,0,140
30.25,3.0,60,0,0,-1,1,0,0,0,1,0,141
30.25,3.25,60,0,0,-1,1,0,0,0,1,0,142
30.25,3.5,60,0,0,-1,1,0,0,0,1,0,143
30.25,3.75,60,0,0,-1,1,0,0,0,1,0,144
30.25,4.0,60,0,0,-1,1,0,0,0,1,0,145
30.25,4.25,60,0,0,-1,1,0,0,0,1,0,146
30.25,4.5,60,0,0,-1,1,0,0,0,1,0,147
30.25,4.75,60,0,0,-1,1,0,0,0,1,0,148
30.25,5.0,60,0,0,-1,1,0,0,0,1,0,149
30.25,5.25,60,0,0,-1,1,0,0,0,1,0,150
30.25,5.5,60,0,0,-1,1,0,0,0,1,0,151
30.25,5.75,60,0,0,-1,1,0,0,0,1,0,152
30.25,6.0,60,0,0,-1,1,0,0,0,1,0,153
30.25,6.25,60,0,0,-1,1,0,0,0,1,0,154
30.25,6.5,60,0,0,-1,1,0,0,0,1,0,155
30.25,6.75,60,0,0,-1,1,0,0,0,1,0,156
30.25,7.0,60,0,0,-1,1,0,0,0,1,0,157
30.25,7.25,60,0,0,-1,1,0,0,0,1,0,158
30.25,7.5,60,0,0,-1,1,0,0,0,1,0,159
30.25,7.75,60,0,0,-1,1,0,0,0,1,0,160
30.25,8.0,60,0,0,-1,1,0,0,0,1,0,161
30.25,8.25,60,0,0,-1,1,0,0,0,1,0,162
30.25,8.5,60,0,0,-1,1,0,0,0,1,0,163
30.25,8.75,60,0,0,-1,1,0,0,0,1,0,164
30.25,9.0,60,0,0,-1,1,0,0,0,1,0,165
30.25,9.25,60,0,0,-1,1,0,0,0,1,0,166
